asin,status,syncroPrice,amazonPrice,syncroStock,amazonStock,priceDiff,stockDiff
"B0DKW6WCV6","MATCH","44.94","44.94","20","20","0","0"
"B000V5DB1E","MISSING_IN_AMAZON","50.27",,"20",,,
"B07HS345HJ","MATCH","83.78","83.78","20","20","0","0"
"B0CJCC7J1M","MATCH","805.58","805.58","20","20","0","0"
"B0DK1GX6SW","MATCH","99.79","99.79","20","20","0","0"
"B08TGN4WPY","MISSING_IN_AMAZON","150.15",,"20",,,
"B0CK9RMNPT","MATCH","67.42","67.42","20","20","0","0"
"B07BQT82S8","MATCH","71.98","71.98","10","10","0","0"
"B08KYH4PL4","MISSING_IN_AMAZON","427.1",,"4",,,
"B0CTHZXJTF","PRICE_MISMATCH","0","76.62","0","0","-76.62","0"
"B076PRWVPL","MISSING_IN_AMAZON","235.16",,"20",,,
"B07SGWKGQG","MISSING_IN_AMAZON","377.66",,"20",,,
"B08KM3TH3S","MISSING_IN_AMAZON","53.25",,"2",,,
"B01DEIW9PI","PRICE_MISMATCH","101.52","101.73","3","3","-0.21","0"
"B0CJLMYK7J","MISSING_IN_AMAZON","110.81",,"20",,,
"B0DRC97V4F","MATCH","306.41","306.41","20","20","0","0"
"B098SZ6NFR","MISSING_IN_AMAZON","0",,"0",,,
"B0F3WKYQPS","MISSING_IN_AMAZON","861.16",,"11",,,
"B0DSDWVN36","MATCH","63.94","63.94","20","20","0","0"
"B09S5SV7VQ","MATCH","44.13","44.13","20","20","0","0"
"B091GN419W","MISSING_IN_AMAZON","80.73",,"20",,,
"B0CV4Z6T5Q","MATCH","110.58","110.58","15","15","0","0"
"B07FXCGB8D","MISSING_IN_AMAZON","45.84",,"20",,,
"B07Q28QJSC","PRICE_MISMATCH","189.96","190.35","3","3","-0.39","0"
"B08GLXZXYN","MISSING_IN_AMAZON","110.81",,"20",,,
"B0DG8VX4LQ","MATCH","119.82","119.82","20","20","0","0"
"B003YKX6V8","MISSING_IN_AMAZON","40.78",,"20",,,
"B07X38D86F","MATCH","53.52","53.52","20","20","0","0"
"B0DM8VSS2M","MATCH","135.26","135.26","0","0","0","0"
"B09TNKBFRL","MATCH","49.42","49.42","20","20","0","0"
"B0DQ7GWPK2","MISSING_IN_AMAZON","111.43",,"20",,,
"B0CQLVS7GZ","MATCH","126.99","126.99","8","8","0","0"
"B07GZFSHZ2","MISSING_IN_AMAZON","56.63",,"8",,,
"B0DK4PLV9D","MATCH","99.79","99.79","20","20","0","0"
"B07X8RRHM9","MISSING_IN_AMAZON","74.63",,"20",,,
"B089M71T3D","MISSING_IN_AMAZON","514.52",,"7",,,
"B0D391JRRQ","STOCK_MISMATCH","47.04","47.04","2","0","0","2"
"B0CSJSG3R2","MATCH","51.24","51.24","20","20","0","0"
"B0CSV2WSCD","MISSING_IN_AMAZON","101.59",,"20",,,
"B088K62NDZ","MISSING_IN_AMAZON","64.86",,"16",,,
"B0DJCKWCXJ","MATCH","54.95","54.95","17","17","0","0"
"B00AZZ1AJK","MISSING_IN_AMAZON","68.03",,"4",,,
"B0DLGL9Z9B","MATCH","392.91","392.91","17","17","0","0"
"1250299055","MISSING_IN_AMAZON","46.69",,"0",,,
